
Query: SRR32209849_1.fastq.gz	DB: RefSeq	SketchLen: 23658	Seqs: 558719 	Bases: 49881158	gSize: 4073984	GC: 0.481	Quality: 0.9101	AvgCount: 7.467	Depth: 7.464	File: SRR32209849_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
37.15%	33.79%	96.48%	.	0	55.34%	49.67%	0.38%	2.26%	5321	0.00e+00	7.715	7.628	61.70	179.6	7994	1	7411	19739	1127	23658	2204190	-1	4180641	4176363	4176363	138	0.471	21518	23658	21518	23658	11751	Vibrio sp. 2523-88	.	tid|2204190|NZ_QKKG01000004.1 Vibrio sp. 2523-88 2523_88_contig4, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2523-88
38.17%	34.28%	96.57%	.	0	54.39%	51.16%	0.39%	2.32%	5295	0.00e+00	7.728	7.641	62.69	179.9	8109	1	7530	19739	1162	23658	2204193	-1	4021660	4019087	4019087	83	0.472	21244	23658	21244	23658	12103	Vibrio sp. 2016V-1062	.	tid|2204193|NZ_QKKJ01000007.1 Vibrio sp. 2016V-1062 2016V_1062_contig7, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2016V-1062
37.81%	34.00%	96.54%	.	0	54.68%	50.82%	0.39%	2.29%	5280	0.00e+00	7.700	7.615	61.96	179.9	8044	2	7473	19739	1151	23658	2204196	-1	4038943	4035564	4035564	109	0.472	21277	23658	21277	23658	12023	Vibrio sp. 2017V-1085	.	tid|2204196|NZ_QKKM01000027.1 Vibrio sp. 2017V-1085 2017V_1085_contig27, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1085
37.83%	34.04%	96.54%	.	0	54.10%	51.31%	0.39%	2.29%	5250	0.00e+00	7.732	7.628	62.29	180.1	8054	7	7474	19739	1162	23658	2204195	-1	4082510	4079038	4057712	112	0.471	21292	23658	21292	23658	12139	Vibrio sp. 2017V-1070	.	tid|2204195|NZ_QKKL01000080.1 Vibrio sp. 2017V-1070 2017V_ori_contig_72, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1070
37.71%	33.95%	96.52%	.	0	54.01%	51.38%	0.39%	2.30%	5230	0.00e+00	7.773	7.602	62.44	181.0	8031	5	7453	19739	1161	23658	2014742	-1	4123863	4123801	4061431	2	0.472	21296	23658	21296	23658	12155	Vibrio sp. 2521-89	.	tid|2014742|NZ_CP022352.1 Vibrio sp. 2521-89 chromosome 2, complete sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2521-89
36.76%	33.34%	96.45%	.	0	55.06%	50.08%	0.38%	2.24%	5228	0.00e+00	7.709	7.616	60.82	180.7	7887	5	7306	19739	1127	23658	2204197	-1	4137761	4135281	4135281	80	0.471	21453	23658	21453	23658	11847	Vibrio sp. 2017V-1124	.	tid|2204197|NZ_QKKN01000015.1 Vibrio sp. 2017V-1124 2017V_1124_contig15, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1124
36.56%	33.25%	96.42%	.	0	54.94%	50.04%	0.38%	2.24%	5218	0.00e+00	7.744	7.659	60.94	180.3	7866	3	7303	19739	1127	23658	2204192	-1	4189996	4187919	4187919	67	0.471	21513	23658	21513	23658	11839	Vibrio sp. 2016V-1018	.	tid|2204192|NZ_QKKI01000038.1 Vibrio sp. 2016V-1018 2016V_1018_contig38, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2016V-1018
37.63%	33.79%	96.52%	.	0	53.99%	51.52%	0.39%	2.30%	5202	0.00e+00	7.711	7.616	61.66	180.4	7994	5	7420	19739	1161	23658	2204191	-1	4050103	4047344	4047344	89	0.472	21244	23658	21244	23658	12188	Vibrio sp. 2015V-1076	.	tid|2204191|NZ_QKKH01000001.1 Vibrio sp. 2015V-1076 2015V_1076_contig1, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2015V-1076
37.71%	33.79%	96.53%	.	0	53.43%	52.13%	0.39%	2.32%	5156	0.00e+00	7.744	7.639	61.92	182.3	7994	1	7414	19739	1175	23658	2204194	-1	4028322	4024943	4013956	109	0.471	21198	23658	21198	23658	12332	Vibrio sp. 2017V-1038	.	tid|2204194|NZ_QKKK01000031.1 Vibrio sp. 2017V-1038 2017V-1038_ori_contig_28, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1038
12.88%	9.33%	93.58%	.	0	54.24%	25.07%	0.14%	1.00%	2801	0.00e+00	7.927	2.498	24.17	149.4	3048	34	2751	19739	427	32678	1481663	-1	95385K	95309K	14207K	2163	0.469	32678	23658	32678	23658	5932	Vibrio metoecus	.	tid|1481663|NZ_NMSJ01000003.1 Vibrio metoecus strain OYP9D09 Vm_OYP9D09_Contig_1, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio metoecus

