
Query: SRR32268234_1.fastq.gz	DB: RefSeq	SketchLen: 26135	Seqs: 768495 	Bases: 114492225	gSize: 4148665	GC: 0.481	Quality: 0.9695	AvgCount: 21.106	Depth: 21.106	File: SRR32268234_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
37.54%	30.82%	96.51%	.	0	67.63%	44.49%	0.09%	2.09%	5730	0.00e+00	22.66	22.43	182.5	179.9	8054	4	7381	19563	1567	26135	2204197	-1	4137761	4135281	4135281	80	0.471	21453	26135	21453	26135	11627	Vibrio sp. 2017V-1124	.	tid|2204197|NZ_QKKN01000015.1 Vibrio sp. 2017V-1124 2017V_1124_contig15, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1124
38.18%	31.11%	96.57%	.	0	66.38%	45.92%	0.09%	2.15%	5693	0.00e+00	22.66	22.40	184.2	179.7	8130	2	7542	19563	1610	26135	2204195	-1	4082510	4079038	4057712	112	0.471	21292	26135	21292	26135	12001	Vibrio sp. 2017V-1070	.	tid|2204195|NZ_QKKL01000080.1 Vibrio sp. 2017V-1070 2017V_ori_contig_72, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1070
38.22%	31.07%	96.57%	.	0	66.41%	46.01%	0.09%	2.15%	5680	0.00e+00	22.78	22.56	184.9	180.5	8119	2	7538	19563	1614	26135	2204193	-1	4021660	4019087	4019087	83	0.472	21244	26135	21244	26135	12026	Vibrio sp. 2016V-1062	.	tid|2204193|NZ_QKKJ01000007.1 Vibrio sp. 2016V-1062 2016V_1062_contig7, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2016V-1062
37.91%	30.87%	96.54%	.	0	66.70%	45.70%	0.09%	2.15%	5668	0.00e+00	22.77	22.56	183.7	180.3	8067	0	7496	19563	1597	26135	2204196	-1	4038943	4035564	4035564	109	0.472	21277	26135	21277	26135	11943	Vibrio sp. 2017V-1085	.	tid|2204196|NZ_QKKM01000027.1 Vibrio sp. 2017V-1085 2017V_1085_contig27, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1085
38.02%	30.91%	96.55%	.	0	66.34%	46.08%	0.09%	2.15%	5653	0.00e+00	22.79	22.56	184.1	180.3	8078	3	7500	19563	1609	26135	2204191	-1	4050103	4047344	4047344	89	0.472	21244	26135	21244	26135	12042	Vibrio sp. 2015V-1076	.	tid|2204191|NZ_QKKH01000001.1 Vibrio sp. 2015V-1076 2015V_1076_contig1, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2015V-1076
36.97%	30.43%	96.45%	.	0	67.09%	44.77%	0.09%	2.11%	5643	0.00e+00	22.69	22.48	180.5	180.6	7954	0	7311	19563	1563	26135	2204192	-1	4189996	4187919	4187919	67	0.471	21513	26135	21513	26135	11701	Vibrio sp. 2016V-1018	.	tid|2204192|NZ_QKKI01000038.1 Vibrio sp. 2016V-1018 2016V_1018_contig38, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2016V-1018
36.93%	30.40%	96.45%	.	0	66.88%	44.94%	0.09%	2.10%	5630	0.00e+00	22.81	22.58	181.2	181.0	7946	1	7371	19563	1567	26135	2204190	-1	4180641	4176363	4176363	138	0.471	21518	26135	21518	26135	11744	Vibrio sp. 2523-88	.	tid|2204190|NZ_QKKG01000004.1 Vibrio sp. 2523-88 2523_88_contig4, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2523-88
37.73%	30.61%	96.53%	.	0	65.48%	46.89%	0.09%	2.16%	5543	0.00e+00	22.77	22.52	182.2	183.0	7999	4	7418	19563	1626	26135	2204194	-1	4028322	4024943	4013956	109	0.471	21198	26135	21198	26135	12255	Vibrio sp. 2017V-1038	.	tid|2204194|NZ_QKKK01000031.1 Vibrio sp. 2017V-1038 2017V-1038_ori_contig_28, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1038
11.26%	9.01%	93.42%	.	0	61.68%	22.88%	0.03%	0.98%	2763	0.00e+00	23.71	7.121	69.78	155.3	2943	15	2591	19563	589	32678	1481663	-1	95385K	95309K	14207K	2163	0.469	32678	26135	32678	26135	5980	Vibrio metoecus	.	tid|1481663|NZ_NMSJ01000003.1 Vibrio metoecus strain OYP9D09 Vm_OYP9D09_Contig_1, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio metoecus

